"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",25,82,2001,691.98935786952524454,210713.15748859918592
"USA",25,82,2002,781.23916052386833796,255057.994216842948558
"USA",25,82,2003,430.2455134005835646,141366.636088745060807
"USA",25,82,2004,522.84157390447256784,168409.055824497233179
"USA",25,82,2005,739.63437478446404597,246358.07500497502216
"USA",25,82,2006,444.13255882739963160,147541.516689250173666
"USA",25,82,2007,607.37249620264778496,207688.648832272910714
"USA",25,82,2008,761.61115169769607622,259393.133761937197367
"USA",25,82,2009,442.9194763041453585,151417.195270327431266
"USA",25,82,2010,2080.19882852808246445,730866.209371098505657
"USA",25,82,2011,647.58186719223974905,216361.389424540063016
"USA",25,82,2012,625.01969510754990829,220412.362022192030074
"USA",25,82,2013,355.4963991337575564,136510.796359305752558
"USA",25,82,2014,561.99828800625757775,216954.582791399992723
"USA",25,82,2015,1008.60631669525525678,395328.989443148366048
"USA",25,82,2016,962.3329865722665572,376344.98069379013385
"USA",25,82,2017,1159.4800749735804320,482889.36309998470836
"USA",25,82,2018,946.47923168560234244,369726.329801826964728
"USA",25,82,2019,1201.47713058715535807,487192.836282594403934
"USA",25,82,2020,651.99752108422815369,266546.57629997700424
"USA",25,82,2021,374.5864521680652534,146566.822332663803833
"USA",25,82,2022,653.19283890153898783,266539.1872293248259934
"USA",25,82,2023,589.0148844840083851,254909.81232310216073
